Algorithm,Training Accuracy,Training Precision,Training Recall,Training F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,CV Mean,CV Standard Deviation
LogisticRegression,0.7046489712580493,0.7047089669633001,0.7046489712580493,0.7046273294463294,0.6995,0.8006393914473684,0.6995,0.7271351508955417,70.28,0.94
GaussianNB,0.714386681325585,0.7147203773287313,0.714386681325585,0.714275670591635,0.7115,0.8032725654570508,0.7115,0.7372761044258952,71.23,0.83
KNeighborsClassifier,0.8910790010994188,0.9010717387261051,0.8910790010994188,0.8903963046734678,0.7255,0.7989079357943727,0.7255,0.7479988072557201,81.8,1.05
RandomForestClassifier,0.7735982409297942,0.7746878192341313,0.7735982409297942,0.7733735064373235,0.782,0.8414607867984568,0.782,0.7988136263596057,76.67,0.84
DecisionTreeClassifier,0.7637034710224596,0.7638117648940151,0.7637034710224596,0.763679218794421,0.7545,0.831828125,0.7545,0.7754208695652174,76.23,0.95
SVC,0.7901680540285849,0.7908050912876514,0.7901680540285849,0.7900530766635054,0.774,0.835850975431703,0.774,0.7916551904759483,78.13,0.88
XGBClassifier,0.9751060153918643,0.9753197051247982,0.9751060153918643,0.9751032171768865,0.833,0.8426726842984636,0.833,0.8370331967912613,91.94,1.07
LGBMClassifier,0.9177791738652427,0.9181321841464191,0.9177791738652427,0.9177618163611863,0.8115,0.8405485076867643,0.8115,0.8214242822573417,87.85,0.9
VotingClassifier,0.7809015234804461,0.7821409515541207,0.7809015234804461,0.7806606373540012,0.783,0.8407708954995875,0.783,0.7995147354080022,77.16,0.76
VotingClassifier,0.8631223496152034,0.8635140410393302,0.8631223496152034,0.8630854677880584,0.8115,0.8473799492533407,0.8115,0.8228652182992241,83.53,0.75
StackingClassifier,0.9332495680854406,0.9332523040542786,0.9332495680854406,0.9332494627037795,0.814,0.8276008806424736,0.814,0.8195764671030851,88.81,1.04
StackingClassifier,0.9337207476048375,0.9338036159778658,0.9337207476048375,0.9337175821654979,0.815,0.8374926372640527,0.815,0.8232087935524426,88.73,1.06
