Algorithm,Training Accuracy,Training Precision,Training Recall,Training F1-Score,Training True Positive Rate,Training True Negative Rate,Training Precision (C_1),Training Precision (C_0),Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test True Positive Rate,Test True Negative Rate,Test Precision (C_1),Test Precision (C_0),Validation Data Accuracy,Validation Data Precision,Validation Data Recall,Validation Data F1-Score,Validation Data True Positive Rate,Validation Data True Negative Rate,Validation Data Precision (C_1),Validation Data Precision (C_0),CV Mean,CV Standard Deviation
GaussianNB,0.7878965234695072,0.7879771587302786,0.7878965234695072,0.7878606269616052,0.7992098535905182,0.7764150943396226,0.7839069979484842,0.7921077959576516,0.7407407407407407,0.7854986835155382,0.7407407407407407,0.7569227313946293,0.5945945945945946,0.7781269641734758,0.40672268907563025,0.8823948681397007,0.740142696207285,0.7815369395503918,0.740142696207285,0.7555309821156977,0.5756457564575646,0.7821782178217822,0.40310077519379844,0.8782424563260984,80.04,1.56
XGBClassifier,0.9776425143392251,0.977993295821057,0.9776425143392251,0.9776406823647306,0.9644434115733209,0.9910377358490566,0.9909264565425024,0.9648679678530425,0.8478478478478478,0.8385653150506706,0.8478478478478478,0.841236889412717,0.5257985257985258,0.9302325581395349,0.6584615384615384,0.8846383741781231,0.8343972962823882,0.8234371218517504,0.8343972962823882,0.8269097617913344,0.488929889298893,0.9226779820839227,0.6177156177156177,0.8760071620411818,85.39,1.53
GradientBoostingClassifier,0.9483787896523469,0.9491305218820345,0.9483787896523469,0.9483653273863516,0.9286544271438532,0.9683962264150944,0.9675544794188862,0.9304328121459324,0.8433433433433434,0.8340683009148236,0.8433433433433434,0.8370104406201918,0.5208845208845209,0.9258328095537398,0.6424242424242425,0.8830935251798561,0.8313931656027037,0.8196278859495636,0.8313931656027037,0.8232976144392504,0.47601476014760147,0.9222065063649222,0.6099290780141844,0.8732142857142857,84.43,1.37
CatBoostClassifier,0.9415896055249913,0.9425696182953586,0.9415896055249913,0.9415679398916912,0.9188937950267255,0.964622641509434,0.9634502923976608,0.9213786888938951,0.8528528528528528,0.8439297834871052,0.8528528528528528,0.8462791306771207,0.5356265356265356,0.9340037712130735,0.6749226006191951,0.8871641791044776,0.8471648516710477,0.83696599206498,0.8471648516710477,0.8395373857791388,0.511070110701107,0.933050447901933,0.6610978520286396,0.8819073083778967,86.1,1.2
LogisticRegression,0.8301533419173592,0.8305333682501483,0.8301533419173592,0.8301297468583859,0.8154775737857309,0.8450471698113208,0.8422947671627461,0.8185972127027644,0.7737737737737738,0.7766786890306848,0.7737737737737738,0.7751864457782333,0.4619164619164619,0.8535512256442489,0.44655581947743467,0.8611287254280279,0.7679309049943672,0.7746581655629542,0.7679309049943672,0.7710986687512382,0.46863468634686345,0.8444130127298444,0.4349315068493151,0.8614718614718615,81.67,1.2
KNeighborsClassifier,0.8779117406063444,0.8802380741288134,0.8779117406063444,0.8776832640976875,0.9181966070183593,0.8370283018867924,0.8511417492460146,0.9097667264803897,0.7172172172172172,0.7598342006415013,0.7172172172172172,0.7337334704753998,0.515970515970516,0.7686989314896292,0.3633217993079585,0.8612676056338028,0.7149831017649267,0.7550257298837757,0.7149831017649267,0.7308526172986413,0.496309963099631,0.7708628005657708,0.3562913907284768,0.8569182389937107,80.08,1.2
LGBMClassifier,0.9406531663350112,0.9418577419959396,0.9406531663350112,0.9406247626506401,0.9154078549848943,0.9662735849056604,0.964968152866242,0.9184039453037436,0.8478478478478478,0.8396286907301509,0.8478478478478478,0.8423277064311863,0.5405405405405406,0.9264613450659962,0.6528189910979229,0.8874172185430463,0.8358993616222306,0.8288132914925186,0.8358993616222306,0.8316348185662121,0.533210332103321,0.9132484677039132,0.6109936575052854,0.8844748858447489,85.78,1.0
RandomForestClassifier,0.8397518436146553,0.8403576755615262,0.8397518436146553,0.8397100525893773,0.8208226818498722,0.8589622641509433,0.8552058111380145,0.8252889191026512,0.8103103103103103,0.8203366126543209,0.8103103103103103,0.8146449469713973,0.601965601965602,0.863607793840352,0.5303030303030303,0.89453125,0.8054825384904243,0.8152393540314882,0.8054825384904243,0.8097502569807927,0.5867158671586716,0.8613861386138614,0.5196078431372549,0.8907849829351536,85.28,0.99
DecisionTreeClassifier,0.8062741425728667,0.8063350500324574,0.8062741425728667,0.8062488823726282,0.8159423657913084,0.7964622641509433,0.8026977594878829,0.8100263852242744,0.7732732732732732,0.8104965131270511,0.7732732732732732,0.7864044248781259,0.6511056511056511,0.8045254556882464,0.4600694444444444,0.90014064697609,0.7607960946301164,0.7937260432583764,0.7607960946301164,0.773268069253009,0.5922509225092251,0.8038661008958039,0.4355495251017639,0.8852544132917964,84.62,0.77
SVC,0.8715907760739787,0.8726928439071542,0.8715907760739787,0.8715252513512968,0.8461538461538461,0.8974056603773585,0.8932777232580962,0.8518021043205731,0.8053053053053053,0.79925431422773,0.8053053053053053,0.8019906578115674,0.47911547911547914,0.8887492143306097,0.5241935483870968,0.8696186961869619,0.7870822380773563,0.7817356744105257,0.7870822380773563,0.7842406180510583,0.44280442804428044,0.875058934464875,0.4752475247524752,0.8600556070435589,82.4,0.58
